Date,Close,High,Low,Open,Volume
1/3/2000,18.982481,19.23987058,18.0172701,18.21031228,5298400
1/4/2000,18.49987984,19.33639614,18.40335872,18.82161688,4555700
1/5/2000,18.04944801,18.6929221,17.9529269,18.43553246,5701900
1/6/2000,18.85378456,18.98247934,17.75987897,17.88857375,6863100
1/7/2000,19.36856651,19.88334569,18.88596104,18.98248213,10527800
1/10/2000,18.982481,19.65812863,18.85378622,19.62595494,6402500
1/11/2000,18.91814613,19.36857818,18.8537987,19.17553588,5607800
1/12/2000,18.69291687,19.1755223,18.69291687,18.91813274,4267300
1/13/2000,18.49987984,18.85379058,18.49987984,18.69292206,3144200
1/14/2000,18.62856865,18.95030559,18.49987387,18.56422126,5413700
1/18/2000,18.66075134,19.04683585,18.30684054,18.4998828,4821600
1/19/2000,18.75727272,18.98248869,18.49988304,18.98248869,3999700
1/20/2000,18.59639359,18.75726204,18.5320462,18.75726204,3106100
1/21/2000,18.59639359,18.75726204,18.40335144,18.62856728,4454400
1/24/2000,18.17814064,18.72509354,17.92075104,18.62857244,3785000
1/25/2000,17.66335297,18.21030561,17.43813717,18.17813192,4356500
1/26/2000,17.47032356,17.98510289,17.37380244,17.66336581,3174100
1/27/2000,17.40597153,17.66336112,17.11640823,17.50249263,2610100
1/28/2000,17.11641121,17.50249567,17.0842375,17.27727974,4090800
1/31/2000,17.56684113,17.69553593,17.1164093,17.24510411,2989600
2/1/2000,17.50248718,17.66335563,17.34161873,17.50248718,3602600
2/2/2000,16.98770332,17.47030853,16.95552964,17.37378749,3289100
2/3/2000,17.0198822,17.18075065,16.79466637,16.98770851,3662900
2/4/2000,16.85901642,17.56683772,16.79466903,17.30944815,3885600
2/7/2000,16.66597176,17.08422973,16.60162437,16.92336128,3999700
2/8/2000,17.14857864,17.3737945,16.98771018,17.14857864,5010500
2/9/2000,17.50248718,18.0816136,17.37379242,18.01726622,8432500
2/10/2000,17.8242321,17.95292692,17.53466876,17.95292692,5909500
2/11/2000,17.69552994,18.08161423,17.50248779,18.01726685,5530400
2/14/2000,17.53466797,17.75988389,17.47032056,17.59901537,3493300
2/15/2000,17.59900856,17.95291915,17.50248749,17.50248749,3909600
2/16/2000,17.50248718,17.92074515,17.47031349,17.56683456,4606800
2/17/2000,17.66335297,17.92074244,17.63117928,17.79204771,2847700
2/18/2000,17.63118744,17.88857704,17.47031894,17.69553484,3664500
2/22/2000,17.85640526,17.95292637,17.56684193,17.66336304,2929400
2/23/2000,17.59900856,17.88857177,17.50248749,17.66335594,3249300
2/24/2000,17.50248718,17.69552932,17.08422922,17.53466087,3612800
2/25/2000,16.85901642,17.6955325,16.82684272,17.50249033,4205500
2/28/2000,17.11641121,17.43814826,16.85902157,17.0842375,3654700
2/29/2000,16.53728104,17.01988651,16.53728104,16.92336542,4635500
3/1/2000,16.76249695,16.95553914,16.40858626,16.47293366,5496400
3/2/2000,16.24771881,16.92336652,16.24771881,16.82684542,5170400
3/3/2000,16.27988243,16.73031396,16.11901403,16.73031396,4626600
3/6/2000,15.95815659,16.18337251,15.79728807,15.99033029,4457900
3/7/2000,15.76511002,16.21554173,15.28250461,15.95815218,7053200
3/8/2000,15.77028465,16.28734317,15.54407155,16.02881391,5159800
3/9/2000,16.22270393,16.41660079,15.83491021,15.8995425,3913200
3/10/2000,15.89954472,16.22270619,15.77028012,16.06112545,3649100
3/13/2000,16.09344482,16.12576098,15.57638636,15.57638636,4308000
3/14/2000,15.86723328,15.89954943,15.57638786,15.83491712,4602900
3/15/2000,17.15987778,17.15987778,15.67333469,15.737967,5463800
3/16/2000,17.6123085,17.67694083,16.67513979,17.06293374,5410300
3/17/2000,17.06293678,17.54767931,16.96598828,17.06293678,4464500
3/20/2000,17.19219589,17.38609284,16.67513737,16.804402,2643800
3/21/2000,17.74157333,17.74157333,16.86903694,17.25683089,5479700
3/22/2000,17.32146263,17.77388889,16.93366869,17.74157273,3431700
3/23/2000,17.32146263,17.57999192,16.93366869,16.99830101,3792400
3/24/2000,17.03061485,17.32146027,16.83671791,17.06293101,3345700
3/27/2000,16.73168945,17.03061389,16.31965847,16.93366542,3397100
3/28/2000,16.80439758,17.12755907,16.31965535,16.38428764,4814300
3/29/2000,17.19219589,17.418409,16.73976968,16.73976968,4254400
3/30/2000,18.58178329,18.58178329,17.48303437,17.54766666,6850900
3/31/2000,18.03241158,18.64641842,17.87083083,18.61410227,4957600
4/3/2000,18.67873955,18.80800418,17.90315175,17.90315175,4337100
4/4/2000,18.84031677,19.26042675,18.32325834,18.67873601,5803400
4/5/2000,19.00189972,19.32506128,18.8726351,19.13116434,4780500
4/6/2000,19.03421402,19.29274324,18.67873634,18.96958171,4050000
4/7/2000,18.61410904,18.90495449,18.25863126,18.84032217,3829600
4/10/2000,18.74337006,19.09884776,18.54947312,18.61410544,2549500
4/11/2000,19.16347694,19.22810924,18.64641854,18.64641854,2408600
4/12/2000,19.26042366,19.58358513,18.74336531,18.74336531,4071700
4/13/2000,18.84031677,19.09884599,18.74336832,18.90494908,2835500
4/14/2000,18.84031677,18.96958138,18.35557449,18.96958138,3407300
4/17/2000,18.9372673,18.9372673,17.90315032,18.51715728,3648700
4/18/2000,18.58178329,18.74336402,18.09704112,18.67873173,2980300
4/19/2000,18.25862885,18.80800352,18.00009959,18.58179042,2949900
4/20/2000,19.22811317,19.38969396,18.58179004,19.00190008,4931800
4/24/2000,19.58358955,19.80980263,18.93726647,18.96958262,4457300
4/25/2000,19.35737801,19.51895879,19.13116491,19.19579722,3344800
4/26/2000,19.51895332,19.71285021,19.19579184,19.35737258,3345300
4/27/2000,19.35737801,19.42201032,19.00190028,19.19579722,2825500
4/28/2000,18.96959114,19.06653965,18.71106179,18.93727497,2279900
5/1/2000,19.13117218,19.26043686,18.67874581,18.84032666,2130100
5/2/2000,19.38969421,19.48664268,18.71105492,19.16348111,3228300
5/3/2000,19.42201996,19.55128465,19.16349057,19.16349057,3802100
5/4/2000,18.96959114,19.48664984,18.93727497,19.325069,2320400
5/5/2000,19.38969421,19.48664268,18.74337107,18.74337107,2252700
5/8/2000,19.61589622,19.61589622,19.32505098,19.48663167,3246100
5/9/2000,19.48664284,19.84212057,19.29274589,19.61590747,4305000
5/10/2000,20.26223755,20.32686989,19.64823035,19.74517886,8784400
5/11/2000,20.68233681,20.68233681,19.64821997,19.64821997,5743100
5/12/2000,20.42381668,20.42381668,19.9390742,19.9390742,3598200
5/15/2000,20.35918045,20.61770973,20.03601886,20.16528349,3519200
5/16/2000,20.22990799,20.55306946,19.97137881,20.13295955,3736300
5/17/2000,20.16527176,20.32685246,19.84211035,19.84211035,2963400
5/18/2000,20.43188667,20.61770454,20.16527842,20.16527842,2544800
5/19/2000,20.29454613,20.48844306,20.1652815,20.29454613,2577700
5/22/2000,20.55307007,20.74696696,19.93906326,20.16527629,6425600
5/23/2000,20.39148712,20.45611941,20.06832568,20.32685483,2896700
5/24/2000,21.07012558,21.10244172,20.58538343,20.61769957,5443100
5/25/2000,20.65002441,20.68234057,20.10064974,20.22991437,4494200
5/26/2000,21.19939423,21.19939423,20.42380663,20.42380663,3261000
5/30/2000,21.19939423,21.19939423,20.58538738,20.84391658,4196400
